,country,description,designation,points,price,province,variety
8311,Spain,"Dusty, clammy, white fruit aromas are generic. This is pulpy in feel with a vague focus. Leesy, pithy citrus flavors are standard and short on personality, while this finishes adequately with a mild citric lift.",,87,17,Galicia,Albariño
8329,Spain,"Don't let the gold color fool you, this is quite vital with floral, leesy, almost grassy aromas. Bracing acidity is at the core with clover, grass, quince and sour-apricot flavors. Blasting acidity is a force on the finish.",Pazo Cilleiro,87,20,Galicia,Albariño
8429,Spain,"Round, creamy apple aromas open things up. This is melony and soft in feel, with flavors of cider, lemon and lychee. A tropical-leaning finish is solid but suggestive of a wine in decline. Drink immediately.",Andión,86,16,Galicia,Albariño
8579,Spain,"Briny, pickled aromas come with hints of citrus and flower blossom. This fast-aging Albariño is melony in feel, but it lacks the variety's patented kick and acidity. As a result, peach and apricot flavors are fleshy and chunky.",Columna,84,17,Galicia,Albariño
8638,Spain,"Stony peach and mandarin orange aromas are touched up by a note of white licorice gumdrop on this well-cut, finesse-filled Albariño. In the mouth, an elegant dance ensues between minerality, lees notes and citric acidity. Flavors of apricot, peach and melon finish minerally and with a slow but steady fade. Drink through 2016.",Etiqueta Ambar,92,24,Galicia,Albariño
8870,Spain,"Peachy aromas are less than perky, while in the mouth this is lemony, narrow and citric. Flavors of lemon and tangerine finish with stony mineral notes but also a drawing citric acidity.",Baladiña,86,16,Galicia,Albariño
9268,Spain,"Ideal Albariño aromas of buttercup, orange blossom, mild citrus, peach and seashell set up a mature but fresh palate, with layered complexity and minerality to spare. Flavorwise, this is a touch waxy, with an emphasis on pear, peach and melon. A dry, clean, slightly dusty finish sends this off in fine fashion.",,91,40,Galicia,Albariño
9338,Spain,"Aromas of ocean breeze and white clover are raw but good. This feels round, pulpy and citrusy, with green slightly bitter flavors of citrus, honey and brine. Acidity plays a big role in keeping this afloat. Drink immediately.",Peitán,86,15,Galicia,Albariño
9344,Spain,"Match stick and sulfur notes fade into citrus and kiwi on an O.K. nose. Kind of late in its life already, this smells big and pulpy. Apple and bitter-melon flavors finish citrusy. Drink immediately.",,86,17,Galicia,Albariño
9647,Spain,"Light lemony aromas are more blowsy than exact. This feels citric and grabby, with oily weight to the palate. Flavors of ripe white grapefruit, nectarine and orange expand but don't evolve on the finish.",,88,22,Galicia,Albariño
9651,Spain,"Aromas of lemon curd and citrus blossom come with a hint of pine. This feels lemony and narrow, with a tight body that's showing little to no give. Nectarine, citrus and green-melon flavors are fresh prior to a dry citrusy finish.",,88,25,Galicia,Albariño
10389,Spain,"Yellow in color, with heavy dusty flat aromas of apple and citrus, this feels low on acidity and thus flat. Cidery apple and lime flavors finish chunky and leesy with an oily texture.",,85,15,Galicia,Albariño
10392,Spain,Dusty apple aromas come with a vanilla-like note of animal crackers. A plump but diluted palate shows mediocre wan flavors of nectarine and apple in front of a flat finish that's losing steam. Drink immediately or wait for a new vintage.,,85,18,Galicia,Albariño
10627,Spain,"Orange peel aromas are a bit stony. In the mouth, this feels like it's past its prime, with little to no intensity or acidity. Mild apple flavors are sweet, mealy and honeyed, while the ending is leesy and mushy.",Family Estate Selection,84,20,Galicia,Albariño
10644,Spain,"An oily bouquet lacks freshness while smelling a bit oxidized and like mushrooms. This has a chunky palate with oxidized, somewhat bitter flavors of papaya and citrus fruits. A pithy mildly bitter finish struggles to show its virtues.",,84,18,Galicia,Albariño
10972,Spain,"Nothing on the bottle says this is oaked, but this Albariño smells like burnt plywood and sawdust. It's chunky and fat on the palate, with woody melony flavors that finish salty and dried out.",,83,20,Galicia,Albariño
10975,Spain,"Mature mealy apricot aromas lead to a spent palate with unfocused cidery flavors that taste old and demanding. This finishes heavy, pulpy and without much point or pleasure. Albariño is meant to be fresh and friendly, but this is neither.",,83,20,Galicia,Albariño
11253,Spain,"Melon, apple and peach pit aromas are dusty but that's about it. This feels flat, with little acidity or kick. Flavors of peach and apple cider end similarly, with no vitality to the finish.",A2O,83,17,Galicia,Albariño
11272,Spain,"Murky mucky passion fruit and pineapple aromas are uncommon and uninviting. This feels watery and a bit citrusy, while strained mango and passion fruit flavors end bitter, pithy and lean.",,82,26,Galicia,Albariño
12355,Spain,"This is a particular style of Albariño. Aromas of white flowers distant mineral and green melon set up a plump, layered palate, with core acidity but also flatness that will only increase the longer it goes. Flavors of nectarine, orange and melon register as citric but also creamy. This is a unique Galician white that's stylish but won't last forever; drink immediately.",Gran Vinum Selección Especial,90,27,Galicia,Albariño
12591,Spain,"Flowery aromas suggest air freshener. This feels plump, round and oily. Salty orange flavors are just ripe enough to be good, while this pushes the limits of brininess on a finish that offers a taste of the ocean.",,87,19,Galicia,Albariño
13288,Spain,"This is a little heavy and oily on the nose, with blowsy white-fruit aromas. It feels peachy and smooth, with key flavor components of melon, apple and pear. This shows some extra heft, ending with a subtle and smooth finish.",O Rosal,89,24,Galicia,Albariño
14130,Spain,"Citrus and apple aromas are fresh, reserved and on the light side. In the mouth, this pops with lemony acidity and related tang. Flavors of tart green apple and lime are racy almost to the point of being sour, while this ends with a tingle of sharp acidity and a sense of wet stones and minerals.",Legado del Conde Albariño,88,16,Galicia,Albariño
15042,Spain,"Waxy melon and apple aromas are intricate and welcoming, while the melon and citrus flavors are just as they should be. Do Ferreiro is a consistent high-end producer in Rias Baixas and its '05 Albariño is great. It picks up steam as it goes along and will go great with salads and seafood. Drink now.",,90,24,Galicia,Albariño
15628,Spain,"Very nice apple blossom and lightly stony aromas greet you, and the apple and apricot flavors are juicy and ripe. This is an all-fruit wine with just enough acidity and minerality to keep it in shape. Finishes with citrus and melon. Drink now.",,89,24,Galicia,Albariño
16691,Spain,"There's not much difference between this wine and the label's less expensive Brandal. This is a bit richer, with chunky melon aromas and peach melba flavors. But it may suffer a bit from additional ripeness and lower acidity. For best results, get at it fast.",,87,25,Galicia,Albariño
16699,Spain,"A little weighty, with ripe apple and peach aromas. Fairly succulent in the mouth, with apple and citrus flavors that are both sweet and a touch chewy. Some pith on the finish adds complexity and overall you can't knock the wine's character. Drink now.",Brandal,87,15,Galicia,Albariño
17136,Spain,"It's already too late for an '04 Albariño, but this one still has some life and kick in it. The nose has some peanut and lacquer, but overall apple aromas ride high. In the mouth, it shows the oily quality of an aging white along with peach, citrus and nut flavors.",,86,18,Galicia,Albariño
19878,US,"The combination of stainless-steel and oak-barrel fermentation has been good for this wine. It's bright and steely in acidity, and lifts the variety's mineral and citrus flavors to new heights, adding a rich level of smoky cream. Just beautiful and versatile at the table, a sommelier's dream wine. Production was a mere 850 cases.",Limited Release,91,22,California,Albariño
20726,Spain,"Just sweet and soft enough to temper the wine's more citric, minerally side. Aromas of green pear and melon are basic and welcoming, while the snappy, forward palate is cleansing and fresh. Flavors of green melon, apple, saline and honey scream Rías Baixas.",Peitán,88,15,Galicia,Albariño
20996,Spain,"One of the most cutting, acid-intense Albariños out there. The nose in minerally and tight as a drum, with green melon and green apple scents. The palate is razor sharp and driving, with tangy, high-toned lemon and Granny Smith apple flavors. Totally citric and zesty; it will last another few years.",,87,26,Galicia,Albariño
21290,Spain,"Aromas of pineapple, grapefruit, juniper berry and dust are slightly sharp but do manage to fold together into a solid whole. The palate is correct, with green-leaning, semiherbal flavors of melon, papaya and mango. A good to above-average Albariño that should be drunk right away.",,87,15,Galicia,Albariño
21331,Spain,"Fairly pungent, with apple and lemon aromas that are typical for the variety. The palate has an edge to it and jacked-up acidity that pushes citrus and pineapple flavors toward tangy. With so much citrus character and acidity, it's lasting and scouring.",Limited Release,87,15,Galicia,Albariño
21875,Spain,"Blowsy and mustardy, like it's starting to turn south. The palate is loud, jumbled and heavy, with mustardy orange flavors, a touch of flowery honey and then bitterness. Big and powerful, but not very poised.",,84,17,Galicia,Albariño
21972,US,"Marimar's first Albariño is unquestionably one of the best ever to hail from California. Made without oak, it's modest in alcohol, giving it a light, transparent mouthfeel that transmits pure, bone dry flavors of peaches, grapefruits and guava, with a touch of Sauvignon Blanc-like gooseberry and enough acidity to make the palate whistle. A real beauty, especially with Asian fusion fare.",Don Miguel Vineyard,92,32,California,Albariño
22580,Spain,"Pretty to sniff, with aromas of lemon, fresh white fruits and minerals. Feels crisp, chiseled and racy, with blazing acidity propelling green apple, lime, green melon and saline flavors. Long on the finish. Drink now.",Pazo Barrantes,89,19,Galicia,Albariño
22998,Spain,"Saline and oceanic on the bouquet, but largely it's neutral-smelling. Feels tight and fresh, but tastes a bit stalky and bitter, with baked apple and a strong taste of straw. Finishes with white pepper notes and that same stalky flavor from before.",,87,20,Galicia,Albariño
23535,Spain,"Waxy and oily on the nose, then narrow as a thin line on the palate. Feels linear and sharp, with lemony flavors that come with a green apple accent. Tastes aged and maderized on the finish, despite displaying lemony acidity and tartness.",El Palomar,84,60,Galicia,Albariño
24898,Spain,"Nice, clean and vibrant, with a welcoming set of peach, apricot and citrusy aromas. The wine is 100% correct and fresh, with clarity and flavors of apple, peach and green grapes. Shows just enough body, acid and pith on the finish, but drink now before it starts to fade.",,89,18,Galicia,Albariño
24950,Spain,"Crisp, clean and minerally on the nose, with apple and green-fruit aromas. It has a round, smooth feel and flavors of peach, apple and citrus that will enliven the palate and aid almost any seafood, vegetable or salad. A natural wine with just enough powdery sweetness to raise a smile.",,89,18,Galicia,Albariño
25156,Spain,"Minerality and crispness define the bouquet, which brings green apple and citrus aromas. There's punch and spritz on the palate as well as sweet citrus and juicy lime flavors that break up a little as they fan out. Not sure if there's residual sugar, but the wine tastes a bit sweet.",,88,16,Galicia,Albariño
25235,Spain,"Crisp and minerally up front, with aromas of apple, peach and dust. It's fresh, maybe a touch basic at its core, with flavors of apple cider, apricot and almond skins. There's nothing not to like about this Albariño, which is pure, pithy on the finish, and more than solid in a pedestrian, familiar sort of way.",Single Vineyard,88,18,Galicia,Albariño
25292,Spain,"Starts out a little gaseous and sulfuric, but it picks up steam in the mouth, where flavors of apricot, citrus and tropical fruits perform a likeable dance. Powerful acidity pushes it in the right direction, and the finish of lychee, passion fruit and nectarine is lasting. Very nice wine but relatively high in price.",,88,25,Galicia,Albariño
25302,Spain,"Stylistically, this is at odds with what I feel Albariño should be. That said, it's a well-executed and well-made barrel-fermented white with full-force toast and popcorn aromas followed by a resiny, vanilla-fueled flavor profile that folds in apple, banana and creamy frosting. Still vital and healthy after three years in bottle.",Nora da Neve,88,29,Galicia,Albariño
25470,Spain,"Neutral aromas suggest peach, apple and minerality. Solid, compact and healthy on the palate, with peach and white pepper flavors. Good on the finish but starting to show some maturity; at peak level now so drink immediately or wait for the 2011.",Sobre Lías,87,18,Galicia,Albariño
25633,Spain,"Fresh smelling, with notes of green melon, apple, honey and minerals. It's more simple than complex, with crisp apple and orange flavors and then a chunky, slightly pithy finish. For under $15 this is good, casual Albariño that won't steer you wrong.",Verdemar,87,14,Galicia,Albariño
26237,Spain,"Opens with peachy, citric and saline aromas. Feels moderately fresh, but seems as though it's starting to mature as it's fleshy and pithy. Flavors of nectarine, orange and bitter pith are good but lack that ethereal quality that can make Albariño special. Drink now.",,85,30,Galicia,Albariño
26268,Spain,"Minerally on the bouquet, with apple and oceanic notes. Turns citric and acidic on the palate, with pineapple, orange and tangy flavors. Shows astringency on the finish, but at least it's juicy and driving.",,85,25,Galicia,Albariño
26325,Spain,"Tight, citric and minerally up front, with less-than-expressive white fruit aromas. Extremely high in acidity, which is why this wine is still kicking. Tastes of tart white grapes and citrus, with zest galore on the finish. 220 cases produced.",Balado,85,60,Galicia,Albariño
26383,Spain,"Peach, melon and light oceanic aromas. Feels a bit flat, with slightly bitter flavors of almond skin and pithy citrus. Picks up steam on the finish courtesy of lasting acidity.",Zios,84,15,Galicia,Albariño
27403,Spain,"Nectarine and apple aromas are good, while this feels plump and melony, but with spine. Briny flavors of gooseberry, apple and orange finish with a note of sea salt. Drink this fresh, minerally wine now.",,88,14,Galicia,Albariño
27584,Spain,"Rubbery, sweaty, muted aromas lead to a dilute, fizzy palate. Prickly green citrus and melon flavors end on the vegetal side.",,84,20,Galicia,Albariño
27711,Spain,"This is a nice value-priced Albariño, with a minerally nose also offers aromas of melon, apple and peach. The palate is citrusy in feel, with lemony acids. Citrus and stone-fruit flavors finish stony and crisp, with a final blast of lemon.",,89,14,Galicia,Albariño
27753,Spain,Minerally peach and apple aromas are typical of the region and variety. A fairly racy palate with good weight brings standard orange and grapefruit flavors prior to a citrusy finish with a touch of pithy bitterness.,Lolo,88,17,Galicia,Albariño
27797,Spain,"Dusty apple, melon and saline aromas are nice but not too intense or exact. This is tight and juicy but textured on the palate, with nectarine, peach and saline flavors. A round feeling finish offers up minerality and length.",,89,20,Galicia,Albariño
28113,Spain,"Lightly leesy aromas of vanilla cookie are offset by crisp minerally apple and stone-fruit scents. This is pure and lifted by fine acidity, while flavors of apple, pineapple and lemon-lime end fresh, with a distant note of citrus pith. Drink immediately.",Etiqueta Ambar,91,22,Galicia,Albariño
28373,US,"This offers an unusually full-bodied take on this variety. It shows a vivid gold color, with generous apricot and pear aromas followed by a lush texture that carries apricot, vanilla and almond flavors across the palate. This was barrel-fermented and had extended aging before release.",Barrica,87,24,California,Albariño
28421,Spain,"Classic Albariño aromas of sea brine, tropical fruits, lees and dust precede a minerally lemony palate with tangy flavors of lemon, lime and gooseberry. This is a fresh clean example with a long stony citrusy finish.",Sin Palabras Castrovaldés,90,20,Galicia,Albariño
28673,US,"Bright aromas of tangerine, cantaloupe and pear lead to just off-dry notes of tropical fruit and spritzy soda-water flavors. It goes down easy.",,87,18,Washington,Albariño
29090,Spain,"Oceanic notes, white pepper, minerally whiffs and generic white-fruit aromas control the bouquet on this zesty Albariño. Minerally flavors of peach and nectarine come with a saline note, while the finish is firm and bright.",,88,16,Galicia,Albariño
29165,US,"This unoaked wine smells like melons and pears, and tastes even more crisp and lively, like green apples and lemons. There's a touch of buttery richness in both the aroma and the flavor, and it's well balanced out by bright acidity.",Vista Luna Vineyard,87,28,California,Albariño
29456,Spain,"This gorgeous Albariño opens with elegant aromas of white flowers, peach and minerals. There's ample acidity, body and flow to the palate, while flavors of nectarine, tangerine and lemon are top-shelf. A long-lasting, clean-as-polished-glass finish confirms excellent overall quality.",Selección Especial,93,27,Galicia,Albariño
29502,Spain,"White-fruit aromas, brine and clam shell notes get this Albariño going. The mouthfeel is full and lemony. Flavors of pickled, briny citrus and nectarine carry onto the finish. This is at its best now; in 2014 it will not be so good.",Valiñas,85,15,Galicia,Albariño
29723,US,"Still settling into the bottle with spritzy, glass-coating bubbles, it's aromatic with notes of cantaloupe, pear and lime. The palate drinks dry and is fruit-filled and richly flavorful, narrowing toward the finish with a zip of acidity. Give it some time open to see it at its best.",,88,18,Washington,Albariño
30515,Spain,"Dusty, leesy aromas are powdery, with little fruit character. This feels stony on the surface but not deep. Nectarine and tangerine flavors finish cidery and slightly bitter.",,86,25,Galicia,Albariño
30895,Spain,"Friendly familiar aromas of lees, seashell, lemon, melon and apple set up a shearing pointed palate. Flavors of lemon-lime, green apple and gooseberry are propelled by minerally acidity, while the finish is fresh and well cut.",,89,18,Galicia,Albariño
30980,Spain,"Pure minerals, peach and melon aromas come with a hint of leesy dust. This wine is elegant, chiseled and minerally on the palate. Flavors of dusty apple and citrus end long and stony, with class. Laxas is a top-flight Albariño producer and this vintage is one of its best. Drink now.",,92,22,Galicia,Albariño
31116,Spain,"Tropical fruit, apple and citrus aromas are chunky. A plump, mellow palate with modest acidity is home to peach, mango and papaya flavors. A soft finish is easygoing but suggests that this should be drunk as soon as possible.",,86,15,Galicia,Albariño
31243,Spain,"Leesy aromas of pear, apple and vanilla are pure and generous, with intensity. Layered and elegant on the palate, this was made entirely from free-run juice and tastes of dry apricot, citrus and apple. A note of spicy white pepper rises up on a minerally finish. Drink this winning Albariño now.",Lágrima,91,22,Galicia,Albariño
31279,Spain,"Saline, seashell and generic white-fruit aromas are good. This feels full, with a plump texture. Flavors of nectarine and peach are salty but true to the region and variety, while the finish is round in feel, with modest citric acidity.",,87,14,Galicia,Albariño
31505,Spain,"Leesy aromas of pear, apple and vanilla are pure and generous, with intensity. Layered and elegant on the palate, this was made entirely from free-run juice and tastes of dry apricot, citrus and apple. A note of spicy white pepper rises up on a minerally finish. Drink this winning Albariño now.",Lágrima,91,22,Galicia,Albariño
31516,US,"This 100% varietal wine, fermented and aged in stainless steel, is silky and creamy, with a medium body and texture that retains a sizzle of freshness on the palate. Well balanced, it offers melon, green apple and lemon, with a tease of fresh-cut peach, ending crisp and clean.",Hendry Vineyard,91,20,California,Albariño
31698,US,"A fine Albariño, this is brisk in acidity, moderate in alcohol and clean on the finish. Shows flavors of citrus fruits and minerals, with rich notes of pears. Great to drink now.",,87,25,California,Albariño
31720,Spain,"Light fleshy aromas of peach and apricot lead to a tight juicy direct palate with pure, unadulterated flavors of pineapple, tangerine and apple. A crisp stony finish is fresh and in fine shape. This is a textbook racy Albariño to drink right away.",Etiqueta Verde,89,18,Galicia,Albariño
32154,US,"There's an almost green tint to this wine and the nose shows honeyed peach, Key-lime pie, kiwi fruit and a touch of white pepper. The palate is tightly focused yet brings ample structure, with lime rinds, green-apple skin and red-apple flesh combining for a strongly complex sipper.",Paragon Vineyards,91,24,California,Albariño
32188,Spain,"This is a faultless Albariño that checks out up front, on the palate and late in the game. Tropical aromas are melony, fresh and minerally. The mouth is peachy and smooth in texture, with kicking acidity. Pithy citrus and nectarine flavors are textbook, and the citrusy finish is long and true.",,90,19,Galicia,Albariño
32331,Spain,"Aromas of orange peel and orange essence are oily and bring softer notes of melon, apple and tropical fruits. This is bright but basic on the tongue, with cutting acidity. Tropical flavors of green melon and mango are ratcheted by citric acidity, while the finish is citrusy and pithy.",,88,20,Galicia,Albariño
32361,Spain,"Chunky aromas of apple cider, pineapple, pine and juniper are challenging. This feels juicy, with sharp acidity. Nectarine is the lead flavor, while apple and pithy bitterness push the finish.",Xión,85,20,Galicia,Albariño
33203,US,"With sweet and sour grapefruit, peach, white flower and orange flavors, this wine has lots of acidity that makes the mouth water. It finishes a little off-dry, making it perfect for salty tapas dishes.",,86,17,California,Albariño
33263,Spain,"Buttercup and fresh pear aromas are friendly and inviting. It feels full and correct, with good acids and minerality. Flavors of pears, melons and lees are very nice, while the finish is simultaneously flowery, crisp and salinic.",Peitán,89,15,Galicia,Albariño
33518,Spain,"Apple and other white fruit aromas come with hints of sea foam and clam shell. The palate is tight, mineral-driven and citric, with some spritz. Flavors of apple and pithy citrus lead to a long, speedy finish, with generous acidity.",Esencia Diviña,89,23,Galicia,Albariño
34119,Spain,"Clean and fresh, this features largely neutral, mineral-driven aromas that hint at white fruit and melon. Citrus, particularly white grapefruit, is the lead flavor, while background notes of pith, melon and green banana make appearances. Fresh, crisp and nice on the finish.",Single Vineyard,88,20,Galicia,Albariño
34595,US,"With this bottling, Marimar Estate confirms itself as one of the two best, most consistent producers of Albariño in California, along with Longoria. The wine is brilliant, with brisk acidity, dryness, modest alcohol and complex flavors of citrus fruit and zest, minerals, white tobacco and ripe figs.",Don Miguel Vineyard,92,32,California,Albariño
34849,Spain,"A positive bouquet of melon, white flowers and honey leads to a ripped acidic palate that generates tangy, almost sharp flavors of orange and gooseberry. A citrusy angular finish turns pithy and bitter as it dissipates. Drink now.",,87,18,Galicia,Albariño
35149,Spain,"Floral leesy aromas of chunky stone fruits and citrus come with a green note of lettuce leaf. This feels round and a touch oily, while briny mildly bitter flavors of citrus finish pithy.",Pazo Barrantes,87,20,Galicia,Albariño
35422,Spain,"Apart from its note of fresh apple and hint of juniper, the nose is fairly neutral. It feels clean, crisp and cleansing, with pear and nectarine flavors that finish light, with medium intensity and length. Drink right away for maximum freshness and expression.",,88,18,Galicia,Albariño
35510,Spain,"For freshness and elegance in an unoaked wine, look no further than this leesy, smooth Albariño that shouts of its coastal origin. Sea notes, apple and peach grace the bouquet, while the plump but zesty palate offers minerally lemon, lime and apple flavors.",O Rosal,91,24,Galicia,Albariño
35649,Spain,"Dusty, clammy, white fruit aromas are generic. This is pulpy in feel with a vague focus. Leesy, pithy citrus flavors are standard and short on personality, while this finishes adequately with a mild citric lift.",,87,17,Galicia,Albariño
35795,Spain,"Peach and apple aromas are fruity but not precise or minerally. This has peachy acidity but a wide, unfocused palate. Flavors of peach and nectarine are tasty but lack the crispness that Albariño is known for.",Covello,84,15,Galicia,Albariño
