,country,description,designation,points,price,province,variety
100273,Italy,"Begins beautifully with a hint of honey, white flowers and fruit. The palate shows good acidity and the finish is longer than the other Arneis tasted. The problem is that within five minutes, a slightly sour note could be detected, which although not particularly strong never really disappeared. Overall a very nice wine that could have been very special.",Cascina Pioiero,84,17,Piedmont,Arneis
100566,Italy,"This light Arneis initially showed a fair amount of sulfur, which blew off with time. Underneath, it revealed some summer fruit flavors and vanilla, but also an odd nuance of wintergreen mint.",,83,17,Piedmont,Arneis
100574,Italy,"The Valdinaria has evolved quickly. The nose is muted, there are low intensity aromas of pear and green plums with a touch of earthiness. It is crisp with plenty of acidity, but there is not enough fruit to give it balance, resulting in a slightly angular wine.",,83,21,Piedmont,Arneis
101163,Italy,"This Arneis displays some muted lime and leather aromas, but on the palate the leathery quality becomes a touch sweaty. It is well balanced, and shows a solid finish.",,82,22,Piedmont,Arneis
101166,Italy,"The Pio Cesare has a pleasant nose of apple and pear with smoky nuances. On the palate, though, it proves less interesting. Extremely soft, lacking acidity and grip; pleasant but drink soon.",,82,19,Piedmont,Arneis
101178,Italy,"The color is darker than the other 2006 Arneis' tasted, and the wine is very evolved. It is pleasant but top heavy; the lack of acidity makes it soft, rich but blowsy, so little carries on to the finish.",Sorilaria,81,26,Piedmont,Arneis
101726,Italy,"Mauro Sebaste delivers an exceptionally clean and compact Roero Arneis with a very defined mineral note and clean tones of kiwi, grapefruit and citrus blossom. The feel it imparts in the mouth is one of crispness and consistency.",,87,21,Piedmont,Arneis
102025,Italy,"This vibrant Roero Arneis from Northern Italy offers a very floral bouquet with layers of citrus blossom, melon and peach. There's a slightly sweet note in the mouth matched by some natural creaminess.",,87,16,Piedmont,Arneis
102614,Italy,"This special selection of Roero Arneis from vintner Pelassa offers a tart and perky ensemble of passion fruit, kiwi, mineral, citrus and peach aromas. You'll also be pleased by the crisp and focused impression it makes in the mouth.",San Vito,87,17,Piedmont,Arneis
102675,US,"Made in a seemingly off-dry style, this offers simple but pleasant apricot, peach and white flower flavors, with bright acidity. It's tastes similar to Pinot Grigio in many respects.",,84,16,California,Arneis
103516,Italy,"Here's an extremely food-friendly white wine from Piedmont in Northern Italy that delivers crisp aromas of citrus, peach blossom and white mineral. All those aromatic components make this a particularly well-suited partner to white asparagus in cream sauce or smoked salmon. You really taste those mineral notes on the finish.",,86,14,Piedmont,Arneis
105494,Italy,"Bracing notes of quince are the opening act for this fragrant, light-bodied quaffer. There's well-defined acidity in the mouth and zesty flavors of lime and grapefruit on the finish. A good choice for salty hors d'oeuvres.",,84,27,Piedmont,Arneis
118048,Italy,"The Il Falchetto offers lovely aromas of fresh peach, honeysuckle and lime peel. The palate is more delicate but the wine is beautifully balanced, and initially, there is more than enough intensity of flavor. But as it moves towards the finish, it begins to run out of steam.",,88,21,Piedmont,Arneis
121414,Italy,"Floral fragrances are backed by fresh fruit and mineral tones to shape a refreshing, tonic wine with a smooth texture and good crispness. The wine has a light, easy consistency and spicy finish.",,86,19,Piedmont,Arneis
126626,Italy,"Mauro Sebaste delivers an exceptionally clean and compact Roero Arneis with a very defined mineral note and clean tones of kiwi, grapefruit and citrus blossom. The feel it imparts in the mouth is one of crispness and consistency.",,87,21,Piedmont,Arneis
126865,Italy,"This vibrant Roero Arneis from Northern Italy offers a very floral bouquet with layers of citrus blossom, melon and peach. There's a slightly sweet note in the mouth matched by some natural creaminess.",,87,16,Piedmont,Arneis
127424,Italy,"This special selection of Roero Arneis from vintner Pelassa offers a tart and perky ensemble of passion fruit, kiwi, mineral, citrus and peach aromas. You'll also be pleased by the crisp and focused impression it makes in the mouth.",San Vito,87,17,Piedmont,Arneis
128356,Italy,"Here's an extremely food-friendly white wine from Piedmont in Northern Italy that delivers crisp aromas of citrus, peach blossom and white mineral. All those aromatic components make this a particularly well-suited partner to white asparagus in cream sauce or smoked salmon. You really taste those mineral notes on the finish.",,86,14,Piedmont,Arneis
129704,Italy,"Bracing notes of quince are the opening act for this fragrant, light-bodied quaffer. There's well-defined acidity in the mouth and zesty flavors of lime and grapefruit on the finish. A good choice for salty hors d'oeuvres.",,84,27,Piedmont,Arneis
137248,Italy,"The Il Falchetto offers lovely aromas of fresh peach, honeysuckle and lime peel. The palate is more delicate but the wine is beautifully balanced, and initially, there is more than enough intensity of flavor. But as it moves towards the finish, it begins to run out of steam.",,88,21,Piedmont,Arneis
145517,Italy,"So pale that it's almost colorless, the Blangé—made from Arneis grapes in Piedmont—has the oak-meets-citrus nose you'd expect of a Chardonnay. The lemon, grapefruit and pear flavors, coupled with a superspritzy, Asti-like mouthfeel, make this a good Sunday brunch eye-opener. Its slightly high acidity could cut through any French toast or waffle that you throw its way. Finishes medium-long, with herbal notes.",Blangé,87,30,Piedmont,Arneis
147564,US,"From this Italian variety comes a light, pleasant wine, with floral, citrus and vanilla aromas. It's pretty rich, with an explosion of citrus fruits and a thick, glyceriney texture.",,84,14,California,Arneis
