,country,description,designation,points,price,province,variety
8092,Italy,"This gripping, delicious wine seamlessly weaves together sensations of blue flower, exotic incense, ripe black cherry, mature plum, cracked pepper, mocha, clove and graphite. It's already delicious and well balanced, with bracing tannins and racy acidity, but give it time to soften and develop complexity. Drink 2019–2029.",Fatica Contadina,94,34,Southern Italy,Aglianico
8170,Italy,"This 100% Aglianico opens with aromas of blue flower, mature red berry and a whiff of coffee. The easy-drinking palate has mellow tannins that frame dense black cherry and a hint of black spice.",Codalunga,87,19,Southern Italy,Aglianico
8260,Italy,"This wine's underbrush, French oak, espresso, coconut and spiced plum aromas carry over to round, concentrated palate, along with licorice, clove, raisin and dried cherry notes. Fine-grained tannins provide polished support, but drink soon to capture the remaining fruit.",Trezotratto Etichetta Bianca Riserva,89,50,Southern Italy,Aglianico
8457,Italy,"Aromas of blue flower, rich black fruit, cooking spices, leather and thyme waft out of the glass of this soulful young Taurasi. The palate offers a juicy core of black cherry accented by notes of black pepper, nutmeg, eucalyptus, pipe tobacco and mineral, with firm acidity and velvety tannins. It's already delicious, but hold for additional complexity. Drink 2019–2029.",Vigne d'Alto,94,70,Southern Italy,Aglianico
8734,Italy,"Baked plum, French oak and menthol aromas meld with earthy whiffs of leather and undergrowth in this wine. The firm, linear palate offers dried black cherry, prune, licorice and espresso flavors, framed by taut, fine-grained tannins. Drink soon to enjoy the remaining fruit richness.",Talento,89,,Southern Italy,Aglianico
8840,Italy,"Violets, leather, vanilla, subtle oak and black berry sensations all meld together in the glass. The rich, concentrated palate delivers ripe black cherry and blueberry extract accented by mocha, cinnamon, clove, white pepper and mineral. It's soft and already extremely accessible, with velvety tannins, but will age well for the next five years or so. Drink now through 2019.",Naturalis Historia,93,90,Southern Italy,Aglianico
9050,Italy,"This opens with tilled soil, dried black cherry and licorice aromas while the accessible, savory palate delivers blackberry jam, clove and white pepper flavors. Polished tannins offer smooth support. Drink through 2020.",Stupor Mundi,89,36,Southern Italy,Aglianico
9190,Italy,"Taurasi Radici is a compelling wine that opens with a multifaceted fragrance of freshly tilled earth, iris, leather, tar and mature black berries. The gripping palate delivers ripe black cherry and plum layered with white pepper, clove and mocha, alongside fresh acidity and polished tannins. It's already accessible but hold for even more complexity. Best 2018–2028.",Radici,93,60,Southern Italy,Aglianico
9527,Italy,"This offers loads of freshly ground peppercorn, backed by touches of caper and black olive. The blackberry and plum fruits gives this wine a soft, yielding feel despite the tannins. The fruit is sourced from vineyards at various altitudes on Mt. Vulture.",Grifalco,88,14,Southern Italy,Aglianico
10026,Italy,"Blue flower, underbrush, tobacco leaf, leather and mature black fruit aromas lead the nose on the structured but polished Taurasi from Fratelli Urciuolo. The balanced palate doles out juicy black cherry, black plum, black pepper and thyme alongside fresh acidity and a solid tannic backbone. Give it time to develop additional complexity; drink after 2020.",,92,35,Southern Italy,Aglianico
10330,Italy,"Aged in both barriques and large casks, this hearty Taurasi opens with aromas of toasted oak and ripe black fruit. The palate slowly opens up to reveal dense black cherry layered with chocolate, toast and Mediterranean spices, alongside drying tannins. Give this time to open up and fully develop. Drink after 2019.",Piano di Montevergine Riserva,91,68,Southern Italy,Aglianico
10345,Italy,"Ripe blackberry, black plum, cracked pepper, tilled soil and licorice all weave together in the glass of this bold and spicy Aglianico. It's still young, with nervous acidity and aggressive tannins, so give it time to fully develop. Drink after 2020.",,91,42,Southern Italy,Aglianico
10710,Italy,"This opens with stalky underbrush, dark spice, red berry and pressed rose aromas. The subdued, evolved palate offers dried cherry, licorice and clove hints, alongside polished tannins.",Sciasci,88,,Southern Italy,Aglianico
10894,Italy,"This opens with stalky underbrush, dark spice, red berry and pressed rose aromas. The subdued, evolved palate offers dried cherry, licorice and clove hints, alongside polished tannins.",Sciasci,88,,Southern Italy,Aglianico
11013,Italy,"This elegant Aglianico boasts a lovely bouquet of blue flower, blackberry, spice and a hint of saddle leather. The savory palate delivers ripe black cherry and blackberry layered with notes of black pepper and cinnamon. Solid tannins and fresh acidity give it balance, while smoky mineral signals the close.",Cesco di Nece,91,22,Southern Italy,Aglianico
11037,Italy,"Here's a robust wine that opens with aromas of blue flower, earth, black fruit and a whiff of new leather. The juicy palate delivers ripe black cherry, mature raspberry, black pepper and balsamic herb, all supported by a firm, tannic backbone. Hold for additional complexity; best from 2016–2026.",Arberesko,91,28,Southern Italy,Aglianico
11315,Italy,"Underbrush, leather, dense black plum, black cherry, clove and black pepper all meld seamlessly together in the glass. This is still young, with aggressive tannins and nervous acidity that need time to tame, but going forward, it should develop layers of complexity. This will be even better after 2019.",Serpico,91,85,Southern Italy,Aglianico
11327,Italy,"This earthy Taurasi opens with aromas of ripe black fruit, blue flower, wet soil and leather. The ripe, structured palate doles out fleshy black cherry accented by cracked black pepper and balsamic herbs. With bracing tannins, give this time to fully develop depth and complexity; drink after 2019. Oliver McCrum, Polaner.",Coste,91,70,Southern Italy,Aglianico
11480,Italy,"This opens with subdued ripe black-skinned fruit and underbrush aromas. The straightforward, accessible palate doles out prune, cinnamon and licorice flavors, with round, ripe tannins. Drink through 2019.",Gesualdo,88,28,Southern Italy,Aglianico
11621,Italy,"Toast, espresso, mocha, plum and leather aromas lead the nose on this structured wine. The palate offers bracing tannins and succulent Morello cherry and cassis layered with notes of chocolate, licorice, mint and vanilla. Drink after 2018.",Kamai,91,50,Southern Italy,Aglianico
11629,Italy,"This bold Aglianico opens with earthy sensations of tilled soil, leather, mature black plum and vanilla. The dense palate is loaded with blueberry extract, fig and ripe blackberry flavors that are layered with mocha, chocolate and vanilla. Drink now through 2022.",Gudarrà Riserva,91,45,Southern Italy,Aglianico
11950,Italy,"This structured, polished wine opens with aromas of red currants, scorched soil, black fruit and allspice. The firm palate delivers blackberry, mocha and sage alongside nervous acidity and bracing yet velvety tannins. Drink after 2018.",Gudarrà,90,25,Southern Italy,Aglianico
11967,Italy,"Made from 50-year old vines, this concentrated wine offers dense black currant and blackberry flavors that are layered with chocolate, black licorice, coffee, grilled red peppers, sage, oak and thyme sensations. The tannins are firm and drying; drink after 2018.",Vigneto Serpara,90,49,Southern Italy,Aglianico
12152,Italy,"Underbrush, ripe plum, tilled earth and dark spice aromas come together in this. The soft, enveloping palate offers juicy black cherry, blackberry extract and licorice flavors, framed by round, pliant tannins. Enjoy through 2019.",Rocca dei Leoni,88,16,Southern Italy,Aglianico
12339,Italy,"Ripe black plum, sour cherry, blue flower, black pepper, clove and cinnamon all meld together in the glass. This is still a very young Aglianco, with bracing tannins, but it should unwind nicely over the next few years. Drink after 2018.",,90,38,Southern Italy,Aglianico
12346,Italy,"Here's a powerfully built wine with mature black plum, underbrush, stewed prune, mint and thyme aromas that waft from the glass. The brawny palate doles out juicy black cherry, milk chocolate and cracked pepper flavors, with a solid tannic backbone.",Poliphemo,90,75,Southern Italy,Aglianico
12589,Italy,"This opens with tobacco, ripe black plum and vanilla aromas. The dense palate offers prune, mocha and toasted oak flavors, with assertive tannins that leave an astringent finish. Drink through 2018.",Campi Taurasini Eremo San Quirico,87,55,Southern Italy,Aglianico
12631,Italy,"This opens with aromas of ripe black plum, tilled soil, blue flower, leather and game. The palate is still very tight but offers black cherry and bitter prune accented by notes of black pepper, clove, graphite and nutmeg. It's all supported by a backbone of assertive tannins. Drink after 2019.",Pago dei Fusi,90,60,Southern Italy,Aglianico
12645,Italy,"Here's a bold wine that opens with aromas of underbrush, tilled soil and black plum. The juicy palate delivers ripe blackberry and rich black cherry accented by cinnamon, black pepper, chocolate and licorice. This is a big wine with enveloping, velvety tannins. The only drawback here is the evident alcohol, but the fruit is delicious. This at its peak so drink soon.",Vigna Cataratte Riserva,90,40,Southern Italy,Aglianico
12990,Italy,"This bold Aglianico has mature black-fruit aromas, with whiffs of eucalyptus, spice and leather. The juicy palate delivers a concentrated, black cherry flavor that's accented by black pepper. It's well balanced, with fresh acidity and firm but tightly-knit tannins.",,90,17,Southern Italy,Aglianico
15038,Italy,"A small portion of Merlot (15%) is blended into this Aglianico-based wine to achieve plush concentration and inviting aromas of forest berry, cookie dough, peppermint, Porcini mushroom, spice and loads of licorice. It's a very solid and tannic wine that would pair well with hearty meat or game dishes: Oak-aged for 12 months.",Briccone,91,40,Southern Italy,Aglianico
15043,Italy,"Year after year, Feudi's Taurasi delivers amazing intensity and volcanic soil aromas that are so distinctive they immediately give its Campania roots away. This boasts bold cherry, with deep tones of sweet-smelling blue flower, licorice, pinecone, tobacco, campfire and charcoal. The wine is plush and velvety on the palate and those fantastic mineral notes emerge on the finale.",Selve di Luoti,90,44,Southern Italy,Aglianico
15057,Italy,"Despite its seven years of age (two of which were spent in oak), this is a seemingly youthful wine with bright and lively fruity tones of berries, cherry soda or candy, red apple backed by a supporting cast of vanilla, cedar and roasted nuts. It offers chewy, firm tannins and good length on the finish.",T,90,32,Southern Italy,Aglianico
15376,Italy,"Earthy and leathery, with aromas and flavors of black olives and dried cherries. It's medium-bodied, with a chewy tannic structure that calls for rare beef at this stage of its development.",,87,22,Southern Italy,Aglianico
15872,Italy,"This is a very attractive wine with loads of personality and a long list of aromatic characteristics: Porcino mushroom, cedar, spice, licorice and scented candle. It's a bit shy on the fruit though: Very modern and intense in the mouth with waxy flavors on the close.",Efesto,89,40,Southern Italy,Aglianico
16235,Italy,"A very characteristic wine of southern Italy, the nose delivers cherry, berry, tobacco, root beer, balsamic, red earth and linseed oil aromas. In fact, there's a lingering perfume reminiscent of paints in an artist's studio. The wine is elegant in the mouth with crisp acidity and a long finish.",,88,16,Southern Italy,Aglianico
16387,Italy,"This Aglianico imparts bright berry fruit, candied cherry, blueberry, licorice, white mushroom and a hearty dose of licorice. Dark, mysterious and dense, it has a solid structure and good length and would pair well with stewed rabbit or roasted lamb.",Cesco di Nece,88,23,Southern Italy,Aglianico
16694,Italy,"Thanks to a thick, purple-hued appearance you know you're in for a ripe and concentrated wine with thick layers of sweet red fruit aromas. The fruit is in fact very forthcoming but is also rendered more complex by background notes of graphite and chestnut. It's a youthful wine with a bright future.",Tenuta Rocca dei Leoni,87,20,Southern Italy,Aglianico
16835,Italy,"Deep, ripe and rich red fruit flavors characterize a wine that offers generous aromas of sweet cherry, pipe tobacco, mint, licorice and lingering smoke tones over firm, mouth-drying tannins. Aglianico, aged in oak for 12 months.",A,87,16,Southern Italy,Aglianico
16981,Italy,"This is a raw and nervous Aglianico with firm tannins and finely etched mineral tones spread over red fruit nuances and toast. The nose offers blackberry, pomegranate and ash. It begs for a pairing with stewed game meat or crunchy roasted lamb.",A,87,16,Southern Italy,Aglianico
18663,Italy,"This vineyard-designate Taurasi Riserva is probably one of the biggest, boldest wines produced in Italy. It opens with an inky black color and intense aromas of black fruit, toast, spice, espresso bean and bitter black chocolate. The jackhammer tannins are steady and firm, and there's a long tail of prune and black fruit on the finish.",Piano di Montevergine Riserva,94,65,Southern Italy,Aglianico
18784,Italy,"Serpico is a bold, larger-than-life wine, with beautiful aromatic intensity and notes of black fruit, espresso and crushed granite. Some 18 months of oak aging adds elements of dark spice and smoke; and the wine shows firm tannins and a long, polished mouthfeel. It's very elegant and should withstand many more years of cellar aging.",Serpico,93,83,Southern Italy,Aglianico
18925,Italy,"This offers just about the biggest, boldest aroma and taste profile you will ever find in an Italian red. The correct food pairing is essential (rare prime rib or aged cheeses) because of the firm, dusty nature of the tannins. The finish shows crushed stone and powdered black licorice.",Le Vigne a Capanno,91,,Southern Italy,Aglianico
19096,Italy,"This vintage of Bocca di Lupo shows balance and sophistication both in terms of its aromatic intensity and overall delivery of fresh fruit and spice. Flavors of dark plum, blackberry, black espresso and hickory smoke appear on the very rich and dense finish.",Bocca di Lupo,90,40,Southern Italy,Aglianico
19097,Italy,"Pago dei Fusi is an extremely mineral-driven wine that oozes with aromas of asphalt, wet river stone and crushed brimstone. There's are touches of candied fruit and black licorice, with notes of tobacco and campfire ash on the close. The mouthfeel is very nice: long, polished, firmly tannic, astringent and elegant. Give this wine five more years in the cellar.",Pago dei Fusi,90,,Southern Italy,Aglianico
19105,Italy,"Wines from the extinct Vulture volcano in the deep south of Italy tend to show a linear, elegant side, with etched mineral notes of smoke and crushed granite. This wine offers all those characteristics, but does so with a modern twist, showing notes of spice and plush red fruit.",,90,28,Southern Italy,Aglianico
19218,Italy,"Here's a full, rich Taurasi that opens with a slightly raw note of fresh cherry, exotic spice and milky chocolate. The mouthfeel is plush, long and velvety.",,90,,Southern Italy,Aglianico
19265,Italy,"Taurasi is one of the great red wines of Italy (sometimes dubbed “the Barolo of the South”), and this expression delivers amazing intensity both in terms of its bouquet and mouthfeel. Its aromas include ripe, chewy blackberry, pipe tobacco, toasted espresso and crushed granite. The mouthfeel is plush, rich and firmly textured, with polished tannins and a smoky aftertaste.",,90,38,Southern Italy,Aglianico
19330,Italy,"This grand wine, with its heavy consistency, tannic backbone and aromatic intensity, should pair well with aged cheeses or grilled red meat. The elegant bouquet opens with thick black fruit, crushed stone, asphalt and dried tobacco. The mouthfeel is equally huge and bold.",,90,,Southern Italy,Aglianico
19394,Italy,"This is a fantastic wine should pair well with meat or pasta. Its aromas include cassis, currant, crushed mineral, cola and dark asphalt. The mouthfeel is firm and structured without being overwhelming.",Elkon,89,17,Southern Italy,Aglianico
19675,Italy,"A hearty, masculine effort, with thick aromas of blackberry, espresso, black granite and pipe tobacco. It has a firm tannic backbone, with a slightly chewy quality to the fruit flavors.",Starsa,88,,Southern Italy,Aglianico
19849,Italy,"This is a ripe, chewy wine, with jammy aromas of blackberry pie and cherry preserve. It shows a dark, inky structure, with loads of moist pipe tobacco and crème de cassis on the thick, syrupy finish.",Òtre,87,18,Southern Italy,Aglianico
22722,Italy,"DUBL is probably the first metodo classico sparkling wine available in the U.S. that is made in Campania. That's just one reason to find this wine so exciting. Other reasons include its clean bouquet of peach, sweet berry, white cherry and almond paste.",DUBL Brut Rosato Metodo Classico,90,55,Southern Italy,Aglianico
27338,Italy,"Aromas of blue flower, mature black fruit, underbrush and subtle oak lead the nose of this Taurasi. The palate offers solid tannins and flavors of mature plum, stewed prune and plum cake, accented by a hint of allspice.",,89,45,Southern Italy,Aglianico
27701,Italy,"This solid Aglianico opens with aromas of leather, underbrush, game and ripe plum. The structured palate delivers ripe blackberry accented by notes of licorice, sage and eucalyptus. There's a subtle warmth of alcohol and firm tannins. Best after 2016.",Donpà,89,30,Southern Italy,Aglianico
27708,Italy,"Blue flower, tilled soil, leather, blackberry, licorice and black pepper sensations all come together in this vibrant, straightforward Aglianico. The dense, juicy palate is framed by tightly woven, brooding tannins and a vein of mineral.",,89,20,Southern Italy,Aglianico
27790,Italy,"This opens with fruity aromas of plum and black berry, alongside whiffs of tilled earth and spice. It's still a bit closed but the palate reveals black cherry, raisin and clove supported by a tannic backbone. Drink 2015–2021.",Siir,89,20,Southern Italy,Aglianico
28771,Italy,"This big, earthy wine has aromas of ripe black plum, tilled soil, leather and coffee. The palate shows blackberry, prune marinated in sprits and black pepper alongside tightly woven and assertive tannins.",,88,25,Southern Italy,Aglianico
28779,Italy,"Here's a powerfully built Aglianico that offers sensations of extremely ripe black cherry, blackberry, chocolate, toast and subtle oak. The dense palate is supported by a solid tannic backbone.",Satyricon,88,45,Southern Italy,Aglianico
28783,Italy,"This hearty Aglianico opens with earthy aromas of tilled soil, mature black fruit and a whiff of leather. The palate delivers black cherry, mint and Mediterranean herbs supported by a firmly tannic backbone.",,88,18,Southern Italy,Aglianico
28792,Italy,"This concentrated wine opens with aromas of ripe black fruit, smoke and subtle oak. The densely packed palate delivers notes of black cherry, mineral and medicinal herbs. It's still young, with bracing tannins that result in a mouth-drying finish. Drink after 2018.",,88,,Southern Italy,Aglianico
29099,Italy,"Funky aromas of barnyard, animal and overripe black fruit lead the nose of this robust Taurasi. The palate offers dense black cherry, spearmint, bitter prune, toasted oak, espresso and chocolate alongside firm, drying tannins.",,88,37,Southern Italy,Aglianico
29403,Italy,"Here's a savory wine that opens with aromas of black berry, earth, leather and spice. The brooding palate offers mature blackberry, black cherry, black licorice and cracked pepper alongside big, chewy tannins.",Teodosio,88,20,Southern Italy,Aglianico
29415,Italy,"Aromas of underbrush, leather, black fruit, mocha and subtle oak lead the nose of this young Taurasi. The palate is still young and tightly woven, but offers black cherry, prune and black pepper alongside bracing tannins. Drink after 2018.",,88,39,Southern Italy,Aglianico
30061,Italy,"This Taurasi opens with earthy aromas of leather, mature black fruit and a whiff of barnyard. The palate offers bracing tannins and dense flavors of blackberry, black cherry and sugar plum that are layered with sugary-sweet vanilla, oak, toast and coffee.",,88,34,Southern Italy,Aglianico
30076,Italy,"This Aglianico opens with aromas of blue flower, red berries, coffee and earth. The palate offers assertive tannins and dense black cherry and raspberry flavors that are accented by notes of black spice.",Redimore,88,28,Southern Italy,Aglianico
30089,Italy,"Blue flower, tilled soil and mature black berry aromas pour from the glass of this young Aglianico. The warm, forward palate doles out ripe black cherry, black pepper, espresso, licorice and toast alongside velvety tannins.",,88,25,Southern Italy,Aglianico
30659,Italy,"This easy-drinking Aglianico offers succulent black cherry, plum and raspberry flavors accented by notes of cinnamon and clove. It's round, fresh and friendly. Drink soon to capture the juicy fruit.",Dal Re,88,25,Southern Italy,Aglianico
30930,Italy,"This young, fresh Aglianico opens with aromas of ripe black fruit, forest floor and cooking spices. The linear palate offers ripe black cherry layered with notes of earth, licorice and cooking spice, all balanced by firm tannins.",Rubrato,88,19,Southern Italy,Aglianico
30948,Italy,"This Aglianico offers a mélange of aromas, including vanilla, toast, ripe plum, prune, tobacco and a whiff of leather. The palate opens with juicy black fruit accented by notes of vanilla, mint, tobacco and espresso, but excruciatingly aggressive tannins dominate the finish and give it an abrupt, drying finish. Give this time to unwind.",Rapicano,88,53,Southern Italy,Aglianico
31273,Italy,"This ripe Taurasi opens with aromas of nail varnish, overripe black fruit and hints of tar and tire rubber. The dense, extracted palate is loaded with mature black plum, stewed prunes marinated in spirits, chocolate and balsamic notes. It has bracing tannins but is shy on freshness.",Nero Né,87,49,Southern Italy,Aglianico
31288,Italy,"This dense and extracted Aglianico has toasted oak, chocolate, mocha, black cherry, espresso, vanilla and eucalyptus sensations. The palate is accompanied by teeth-coating, mouth-drying tannins.",Candriano,87,,Southern Italy,Aglianico
31498,Italy,"Aromas of underbrush, grilled mushroom, blue flower and menthol lead the nose. The linear palate offers dried plum, mature blackberry, espresso and licorice, while firm tannins provide support. It finishes on a note of graphite.",,88,16,Southern Italy,Aglianico
31901,Italy,"Here's a young Aglianico that opens with aromas of blue flower, earth, plum and spice. The simple but savory palate delivers ripe blackberry, raspberry and black licorice alongside firm tannins.",Terra di Vulcano,87,15,Southern Italy,Aglianico
31916,Italy,"This young Aglianico opens with aromas of ripe black and red berries, oak, espresso, leather and vanilla. The concentrated palate offers red cherry, raspberry and licorice alongside drying wood tannins.",Core,87,25,Southern Italy,Aglianico
32490,Italy,"This young Aglianico is still closed but the palate eventually reveals black plum and black cherry accented by notes of black pepper. It has a brooding character, with bracing tannins that leave a drying finish. Drink 2016–2022.",,87,26,Southern Italy,Aglianico
32775,Italy,"This vibrant wine shows the lighter side of Aglianico while offering great value. It doles out juicy wild cherry, white pepper and clove alongside bright acidity and smooth tannins. Pair it with barbecue or hearty pasta dishes.",Gricos,87,12,Southern Italy,Aglianico
32928,Italy,"Here's a full, rich Taurasi that opens with a slightly raw note of fresh cherry, exotic spice and milky chocolate. The mouthfeel is plush, long and velvety.",,90,,Southern Italy,Aglianico
33065,Italy,"This jammy wine doles out overripe plum and mature dark-berry fruit, layered with a melted chocolate sensation. Warm and evolved, it has an almost sugary-sweet palate that's shy on freshness.",Bosco Faiano,87,36,Southern Italy,Aglianico
33215,Italy,"Taurasi is one of the great red wines of Italy (sometimes dubbed “the Barolo of the South”), and this expression delivers amazing intensity both in terms of its bouquet and mouthfeel. Its aromas include ripe, chewy blackberry, pipe tobacco, toasted espresso and crushed granite. The mouthfeel is plush, rich and firmly textured, with polished tannins and a smoky aftertaste.",,90,38,Southern Italy,Aglianico
33360,Italy,"This internationally-styled Taurasi opens with aromas of oak extract, sawdust, coffee and whiffs of black fruit. The palate offers blackberry, sour cherry, bitter cocoa and espresso alongside excruciatingly astringent wood tannins that dry out the mouth.",Albertus,87,67,Southern Italy,Aglianico
33362,Italy,"This wine opens with aromas of toast, black berries, espresso, balsamic herbs and black spices. The extracted palate offers up ripe black cherry, chocolate, coffee and licorice alongside bracing, drying tannins.",Alta Valle,87,,Southern Italy,Aglianico
33550,Italy,"This grand wine, with its heavy consistency, tannic backbone and aromatic intensity, should pair well with aged cheeses or grilled red meat. The elegant bouquet opens with thick black fruit, crushed stone, asphalt and dried tobacco. The mouthfeel is equally huge and bold.",,90,,Southern Italy,Aglianico
33672,Italy,"This Aglianico opens with aromas of new oak, vanilla, chocolate and overripe black fruit, all of which carry over to the one-dimensional palate. It seems tired, and the sugary sweetness, dense concentration and evident alcohol give the wine a lumbering character.",Terre di Rivolta Riserva,86,55,Southern Italy,Aglianico
33685,Italy,"This Aglianico opens with aromas of roasted coffee bean, toast and black fruit. The oak-driven palate offers espresso, black pepper and black cherry flavors, but it lacks fruit richness and ends on a note of drying wood tannins.",Cantine Storiche,86,25,Southern Italy,Aglianico
33854,Italy,"This is a fantastic wine should pair well with meat or pasta. Its aromas include cassis, currant, crushed mineral, cola and dark asphalt. The mouthfeel is firm and structured without being overwhelming.",Elkon,89,17,Southern Italy,Aglianico
33998,Italy,"This dense Aglianico opens with aromas that recall resin, nail polish remover, stewed plum and chocolate. The meaty palate offers overripe black cherry and prune alongside aggressive tannins but it's evolved and shy on freshness. It finishes abruptly, with an astringent, tannic close.",,86,24,Southern Italy,Aglianico
34004,Italy,"This dense Taurasi opens with black fruit, toasted oak and chocolate aromas. The extracted palate shows a heavy oak influence and is framed by coffee, mocha and vanilla alongside evident alcohol and bitter, raw wood tannins.",Opera Mia,86,50,Southern Italy,Aglianico
34267,Italy,"This oak-driven Aglianico opens with aromas of coffee, toasted wood, espresso and black fruit. The dense, extracted palate offers oaky vanilla and sugar-plum alongside drying and astringent wood tannins.",Jumara,86,25,Southern Italy,Aglianico
34276,Italy,"This extracted, dense and one-dimensional Taurasi delivers mature black fruit, fennel, black pepper, licorice, toasted oak and coffee bean sensations alongside drying wood tannins. It finishes abruptly.",La Loggia del Cavaliere Riserva,86,,Southern Italy,Aglianico
34278,Italy,"This extracted wine opens with aromas of toasted wood, coffee, mushroom, chocolate and vanilla. The dense, one-dimensional palate offers thick, jammy black fruit and oak extract.",,86,46,Southern Italy,Aglianico
34561,Italy,"Made with Aglianico, this simple rosé opens with aromas of sour red berries, crushed strawberry and cake spices. The casual palate offers sweet Morello cherry and pink grapefruit accented by notes of clove and sugary vanilla.",Manfredi Rosa,86,12,Southern Italy,Aglianico
34575,Italy,"This warm, forward wine has sensations of nail polish remover, underbrush, resin, mature black plum and overripe black cherry. The evolved palate is framed by astringent tannins that dry out the mouth.",Nero Né,86,49,Southern Italy,Aglianico
35182,Italy,"Here's an informal sparkler made with the Aglianico grape. The simple, fresh palate offers crunchy cherry, strawberry and pink grapefruit alongside bright acidity and vigorous, aggressive bubbles.",Jacarando Rosé Extra Brut,85,6,Southern Italy,Aglianico
35335,Italy,"A hearty, masculine effort, with thick aromas of blackberry, espresso, black granite and pipe tobacco. It has a firm tannic backbone, with a slightly chewy quality to the fruit flavors.",Starsa,88,,Southern Italy,Aglianico
35477,Italy,"This wine opens with red berry, spice and spearmint aromas. The dense palate is surprisingly sweet, with sugary black plum alongside drying, rough, wood tannins.",,85,18,Southern Italy,Aglianico
35800,Italy,"Acrid aromas of sweat along with oak extract and toasted coffee bean lead the nose. The thick, extracted palate delivers oak, raisins and sugary sweet sensations of blueberry syrup together with evident alcohol.",,84,36,Southern Italy,Aglianico
36259,Italy,"This is a ripe, chewy wine, with jammy aromas of blackberry pie and cherry preserve. It shows a dark, inky structure, with loads of moist pipe tobacco and crème de cassis on the thick, syrupy finish.",Òtre,87,18,Southern Italy,Aglianico
48023,Italy,"Rotondo is a gorgeous wine that boasts intensity, integration and complexity. The long list of aromatic attributes includes black currant, candied fruit, bitter chocolate, soft vanilla and smokey campfire. Rock-solid tannins are characteristic of Aglianico so let this wine age five years or more in your cellar.",Rotondo,92,80,Southern Italy,Aglianico
48502,US,"A medium-bodied Aglianico, it's softly textured and light in red cherry fruit and plum flavor, with a hint of rose petals on the nose. Ready to enjoy now, the light imprint of this wine won't get in the way of food flavors, accenting something meaty or gamy that's not overly rich or overdone in sauce.",,86,28,California,Aglianico
48874,Italy,"Divinus is a superrich and concentrated Aglianico from Basilicata that needs a few more years of cellar aging in order to soften those firm tannins. Even at this young age, it shows impressive aromas of smoke, ash, black fruit, leather and spicy cigar tobacco.",Divinus,91,,Southern Italy,Aglianico
48898,Italy,"Here's an elegant and powerful wine from the deep south of Italy that cries out for a pairing with succulent steak or an aged cheese such as pecorino. Despite its blunt power and firm tannins, the wine delivers pretty complexity in the form of black currant, prune, slate and tobacco aromas.",,90,,Southern Italy,Aglianico
